Date,Open,High,Low,Close,Adj Close,Volume
2015-06-18,16.520000,16.670000,16.100000,16.450001,12.105807,798300
2015-06-19,16.420000,16.620001,16.250000,16.309999,12.002779,1037500
2015-06-22,16.570000,16.740000,16.320000,16.520000,12.157322,439100
2015-06-23,16.680000,16.799999,16.469999,16.580000,12.201478,836200
2015-06-24,16.809999,17.090000,16.620001,16.980000,12.495843,525600
2015-06-25,16.770000,16.809999,16.340000,16.580000,12.201478,1348600
2015-06-26,16.709999,17.280001,16.709999,16.930000,12.459047,778700
2015-06-29,16.750000,16.980000,16.389999,16.580000,12.201478,787100
2015-06-30,16.730000,16.920000,16.430000,16.790001,12.356020,1216000
2015-07-01,16.790001,17.120001,16.469999,16.670000,12.267710,995200
2015-07-02,16.840000,16.959999,16.650000,16.799999,12.363378,585700
2015-07-03,16.670000,16.809999,16.500000,16.570000,12.194118,318300
2015-07-06,16.420000,16.940001,16.379999,16.700001,12.289785,632500
2015-07-07,16.600000,16.900000,16.370001,16.900000,12.436969,936600
2015-07-08,16.600000,16.790001,16.360001,16.360001,12.039575,1055200
2015-07-10,16.850000,17.059999,16.530001,16.700001,12.289785,867400
2015-07-13,16.850000,17.290001,16.850000,17.070000,12.562074,373700
2015-07-14,17.010000,17.500000,17.000000,17.500000,12.878520,667800
2015-07-15,17.500000,17.629999,17.270000,17.559999,12.922674,537200
2015-07-16,17.570000,17.690001,17.160000,17.200001,12.657745,383500
2015-07-17,17.260000,17.490000,17.030001,17.070000,12.562074,558400
2015-07-20,17.049999,17.389999,16.990000,17.389999,12.797568,468000
2015-07-21,17.180000,17.280001,16.549999,16.559999,12.186757,403000
2015-07-22,16.510000,16.840000,16.250000,16.400000,12.069013,473300
2015-07-23,16.320000,16.490000,15.560000,15.620000,11.494997,933800
2015-07-24,15.770000,16.000000,15.420000,16.000000,11.774644,592900
2015-07-27,15.750000,16.240000,15.590000,15.790000,11.620105,889600
2015-07-28,15.900000,16.360001,15.800000,16.230000,11.943907,1153800
2015-07-29,16.040001,16.309999,15.860000,16.100000,11.848237,622400
2015-07-30,16.400000,16.459999,15.600000,15.610000,11.487638,714300
2015-07-31,15.710000,16.030001,15.550000,15.950000,11.737850,693400
2015-08-03,15.890000,16.350000,15.710000,16.350000,12.032217,745600
2015-08-04,16.320000,16.469999,15.940000,16.000000,11.774644,722300
2015-08-05,16.200001,16.530001,16.040001,16.150000,11.885032,504500
